feature1,feature2,label
0.5344077855870293,0.1806477361901403,0
0.9386781391581073,0.45339549575772853,1
0.12238686511124997,0.12654420827220192,0
0.574659279010508,0.08938708120834615,0
0.9256487721040055,0.6239534080336954,1
0.975006556602861,0.9138825075433298,1
0.5010878963475577,0.2621550379867663,0
0.277978983676602,0.1871006467906985,0
0.9024346096571455,0.5791925900585916,1
0.7877686933976366,0.9961785413143063,1
0.9657296467465883,0.600626631064396,1
0.03479123322317357,0.928084253643135,0
0.10967614869136344,0.0717715894585389,0
0.8805597377741282,0.9639411911273215,1
0.3283997049103795,0.43572809918585687,0
0.20026482399439882,0.40521145865009844,0
0.8545299648072486,0.3962891183984637,1
0.761647781153464,0.32467677492647706,1
0.9656922558354926,0.2912555650226153,1
0.9717481250996786,0.5390654754055687,1
0.9131985492517527,0.7066521632987172,1
0.4825175862960024,0.1827845622274843,0
0.15029681351987623,0.46187176883683345,0
0.08545230904034773,0.970224277477718,1
0.3990640489562284,0.08117909008056667,0
0.3481046863915286,0.3610345014632421,0
0.5312044185460867,0.6936415352592151,1
0.40552506683413003,0.8753211776664617,1
0.6497379653970641,0.7745408949236877,1
0.7706165842482953,0.3835771447104609,1
0.08105031861300804,0.49865465012662924,0
0.3060987450442727,0.9105293166389928,1
0.8489019794050511,0.21721480261219228,1
0.13804594980385254,0.27965910062163046,0
0.6900276761440253,0.8288919145664208,1
0.022995234702097744,0.07493890176134654,0
0.27465991572061554,0.5143540795681818,0
0.7968268322650202,0.8292432625809146,1
0.6698609705350533,0.811201333727275,1
0.2945717887228634,0.09163736865340522,0
0.7120483982104201,0.09006372643271321,0
0.2756244024650607,0.7653322030217443,1
0.050481202744369735,0.9215406668030071,0
0.5199678818921449,0.599507896181501,1
0.47039101469022493,0.6421005484798723,1
0.8347749915496228,0.09625288342328575,0
0.4687105498024948,0.28595376742155854,0
0.3529408758402546,0.9778466468511995,1
0.22712496517912473,0.1566267991480652,0
0.08230574640186927,0.8170426930116115,0
0.547675626007699,0.03017167819777089,0
0.9037340262634154,0.8966499844935587,1
0.9375698387095319,0.855141654336915,1
0.4154557700585313,0.17660289069287716,0
0.12448222810976961,0.6596370635741517,0
0.8166786493384144,0.2773791260742364,1
0.8763406343677106,0.4870405180313463,1
0.031192250937528088,0.5032863147514453,0
0.9124745400455522,0.7549718837743806,1
0.7400867325828673,0.5965991946544564,1
0.5051257967204819,0.7007767964025567,1
0.9741680085499387,0.22131390954762864,1
0.26918739089336063,0.6731857783450549,0
0.3361380732592104,0.1769808425799464,0
0.5104572862876157,0.6385168073155348,1
0.841486245120715,0.6843747500632397,1
0.2906661891365444,0.2616093411605447,0
0.5300141711980725,0.8831771785598842,1
0.9850595759927934,0.6288958850197975,1
0.25970708265066345,0.9857276264993788,1
0.7637492869264269,0.6910657757978792,1
0.6312383171652004,0.12934759994155798,0
0.4723995104533272,0.6360243620576211,1
0.28014970297942565,0.6896474768682844,0
0.3681858259985713,0.4608864807604368,0
0.8804521689488787,0.16181747826854864,1
0.9175642054772877,0.30185556949371806,1
0.9072970674935245,0.33052478836500077,1
0.5605476454254599,0.7717912367438436,1
0.6507125940892232,0.2061750795663222,0
0.7844402123049308,0.1780815411683332,0
0.9924948705358058,0.7161675276718341,1
0.5725804964443318,0.4349638460100431,1
0.5879564124441514,0.996529781117352,1
0.24373589072402568,0.5809873308663512,0
0.9482387723056279,0.2679113324378982,1
0.6142106242558392,0.2315955091052826,0
0.14175961289591144,0.2988334636868255,0
0.6329466169228619,0.70326554487088,1
0.5394514915688071,0.6149425499094535,1
0.7763938492678083,0.7501068628874699,1
0.7854176209568884,0.3469863416159934,1
0.3424751459329185,0.36122492130217865,0
0.554985664777126,0.25592167271349375,0
0.6378976839109721,0.23554811204100345,0
0.9148978862302144,0.6391289301835498,1
0.8989657794092071,0.27219988048243504,1
0.5655712742944167,4.077507043498407e-05,0
0.1689937334879026,0.3687405467917453,0
0.5385864727907166,0.6022569160934808,1
